2025-10-31 09:35:57.467 febs [main] ERROR c.m.f.common.runner.CacheInitRunner - 缓存初始化失败，Could not get a resource from the pool
2025-10-31 09:35:57.468 febs [main] ERROR c.m.f.common.runner.CacheInitRunner -  ____   __    _   _ 
2025-10-31 09:35:57.477 febs [main] ERROR c.m.f.common.runner.CacheInitRunner - | |_   / /\  | | | |
2025-10-31 09:35:57.478 febs [main] ERROR c.m.f.common.runner.CacheInitRunner - |_|   /_/--\ |_| |_|__
2025-10-31 09:35:57.478 febs [main] ERROR c.m.f.common.runner.CacheInitRunner -                         
2025-10-31 09:35:57.478 febs [main] ERROR c.m.f.common.runner.CacheInitRunner - FEBS启动失败              
2025-10-31 09:35:57.479 febs [main] ERROR c.m.f.common.runner.CacheInitRunner - Redis连接异常，请检查Redis连接配置并确保Redis服务已启动
2025-10-31 09:36:36.020 febs [http-nio-0.0.0.0-9527-exec-2] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:36.022 febs [http-nio-0.0.0.0-9527-exec-2] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:38.758 febs [http-nio-0.0.0.0-9527-exec-6] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:38.760 febs [http-nio-0.0.0.0-9527-exec-6] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:42.091 febs [http-nio-0.0.0.0-9527-exec-8] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:42.092 febs [http-nio-0.0.0.0-9527-exec-8] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:44.387 febs [http-nio-0.0.0.0-9527-exec-10] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:44.388 febs [http-nio-0.0.0.0-9527-exec-10] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:47.110 febs [http-nio-0.0.0.0-9527-exec-2] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:47.111 febs [http-nio-0.0.0.0-9527-exec-2] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:52.773 febs [http-nio-0.0.0.0-9527-exec-4] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:52.774 febs [http-nio-0.0.0.0-9527-exec-4] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:55.367 febs [http-nio-0.0.0.0-9527-exec-6] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:55.368 febs [http-nio-0.0.0.0-9527-exec-6] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:56.735 febs [http-nio-0.0.0.0-9527-exec-8] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:56.737 febs [http-nio-0.0.0.0-9527-exec-8] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:57.639 febs [http-nio-0.0.0.0-9527-exec-10] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:36:57.639 febs [http-nio-0.0.0.0-9527-exec-10] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:37:11.539 febs [http-nio-0.0.0.0-9527-exec-2] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:37:11.540 febs [http-nio-0.0.0.0-9527-exec-2] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:37:26.784 febs [http-nio-0.0.0.0-9527-exec-4] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
2025-10-31 09:37:26.785 febs [http-nio-0.0.0.0-9527-exec-4] ERROR c.m.f.c.authentication.JWTFilter - token已经过期
